Category,Vendor,Phone,Address,City,Province,Postal,username,email,type,contact,position,logo,subdomain
Delivery,Da Tang,(250) 585-8128,2220 Bowen Road Suite 1,Nanaimo,BC,V9S1H9,,,,,,,
Delivery,Mambo Gourmet Pizza,(250) 753-6667,238 C Franklyn Street,Nanaimo,BC,V9R5B8,,,,,,,
Delivery,La Stella Trattoria,(778) 441-4668,321 Wesley Street Suite 1,Nanaimo,BC,V9R2T5,,,,,,,
Delivery,Tandoori Junction Indian Cuisine,(250) 591-8980,489 Wallace Street,Nanaimo,BC,V9R5B8,,,,,,,
Delivery,Shanghai City Restaurant,(250) 756-9368,215-2000 Island Highway N,Nanaimo,BC,V9S5W3,,,,,,,
Delivery,Gabriel’s Gourmet Cafe,(250) 714-0271,39a Commercial St,Nanaimo,BC,V9R5G3,,,,,,,
Delivery,Eataliano Kitchen,(250) 722-2080,1830 Cedar Road,Nanaimo,BC,V9X1L6,,,,,,,
Delivery,Rhythm Restaurant,(250) 591-2288,302-530 5th Street,Nanaimo,BC,V9R1P1,,,,,,,
Delivery,Beaufort Pizza & Pasta House,(250) 754-5514,1483 Bowen Road,Nanaimo,BC,V9S1G4,,,,,,,
Delivery,Little George’s Pizza & Pasta Local Guys,(250) 390-2888,6404 Metral Drive Suite 4,Nanaimo,BC,V9T2L8,,,,,,,
Delivery,Cassidy Country Kitchen,(250) 924-2500,2930 Trans Canada Hwy,Nanaimo,BC,V9X1T2,,,,,,,
Delivery,Milano’s Ristorante,(250) 390-5060,6551 Aulds Rd Suite 300,Nanaimo,BC,V9T6K2,,,,,,,
Delivery,Hong Kong House Restaurant,(250) 758-1558,3023 Barons Road,Nanaimo,BC,V9T3Y6,,,,,,,
Delivery,Manvirro’s Indian Grill,(250) 591-0558,1045B Terminal Avenue N,Nanaimo,BC,V9S4K3,,,,,,,
Delivery,Zalathai,,,,,,,
Delivery,KFC,(250) 390-1565,6896 Island Hwy N North,Nanaimo,BC,V9V1P6,,,,,,,
Delivery,Sushi Ryu,(250) 933-3889,6595 Applecross Road,Nanaimo,BC,V9V1K8,,,,,,,
Delivery,Nana Sushi,(250) 591-0755,14 Victoria Crescent,Nanaimo,BC,V9R5B8,,,,,,,
Delivery,Pita Pit,(250) 729-8891,3200 North Island Highway,Nanaimo,BC,V9T1W1,,,,,,,
Delivery,Little George’s,(250) 754-3271,398C Bruce Avenue,Nanaimo,BC,V9R3Y1,,,,,,,
Delivery,Chico’s Fried Chicken N Pizza,(250) 758-1999,2C-2220 Bowen Road,Nanaimo,BC,V9S1H9,,,,,,,
Delivery,New York Style Pizza & Pasta,(250) 754-0111,299 Wallace Street,Nanaimo,BC,V9R5B4,,,,,,,
Delivery,Pizza Mia,(250) 591-2929,119-50 Tenth Street,Nanaimo,BC,V9R6L6,,,,,,,
Delivery,Beefeater’s,(250) 753-2333,1840 Stewart Avenue,Nanaimo,BC,V9S4E6,,,,,,,
Delivery,Real Food,(250) 741-0004,321 Wesley St Unit 3,Nanaimo,BC,V9R2T5,,,,,,,
Delivery,Boston Pizza,(250) 751-0090,2-5779 Turner Road,Nanaimo,BC,V9T6L8,,,,,,,
Delivery,Noodlebox,(778) 441-4494,648 Terminal Avenue Unit 107,Nanaimo,BC,V9R5E2,,,,,,,
Delivery,Dover Chinese Food,(250) 390-9111,103-6330 Dover Road,Nanaimo,BC,V9V1S4,,,,,,,
Delivery,Marina’s Taverna and Pizza,(778) 441-2626,215 Terminal Avenue N,Nanaimo,BC,V9S4J4,,,,,,,
Delivery,Pizza Mia,(250) 591-2929,4186 Departure Bay Road,Nanaimo,BC,V9T4B7,,,,,,,
Delivery,Pizza Hut,(250) 754-3620,1150 Terminal Avenue N #12,Nanaimo,BC,V9S5L6,,,,,,,
Delivery,The Old City Station Pub,(250) 716-0030,150 Skinner Street,Nanaimo,BC,V9R7A6,,,,,,,
Delivery,Freshslice Pizza,(250) 591-0689,100-1808 Bowen Road Westhill Center,Nanaimo,BC,V9S5W4,,,,,,,
Delivery,Pitcher’s Pantry,(250) 619-1855,,,,,,,
Delivery,Noodlebox,(250) 933-0712,6334 Metral Drive Unit 5,Nanaimo,BC,V9T2L8,,,,,,,
Delivery,Papa Johns Pizza,(250) 824-7272,5B 4890 Rutherford Road,Nanaimo,BC,V9T4Z4,,,,,,,
Delivery,Pizza Hut,(604) 275-4943,6373 Hammond Bay Road,Nanaimo,BC,V9T5Y1,,,,,,,
Delivery,Speedi Bottle Delivery,(250) 751-3880,,,,,,,
Delivery,KFC,(250) 933-1102,294-6631 Island Highway N,Nanaimo,BC,V9T4T7,,,,,,,
Delivery,Thai Chili,(250) 729-2698,3200 N Island Highway,Nanaimo,BC,V9T1W1,,,,,,,
Burgers,Milton Street Public House,(250) 591-1090,247 Milton Street,Nanaimo,BC,V9R2K5,,,,,,,
Burgers,Top Notch Burgers,(778) 441-4229,70 Church Street,Nanaimo,BC,V9R5H4,,,,,,,
Burgers,Bin 4 Burger Lounge,(250) 933-4224,102A - 6750 Island Highway,Nanaimo,BC,V9V1A3,,,,,,,
Burgers,Original Joes,3290 Island Highway,Nanaimo,BC,V9T1W1,,,,,,,
