Category,Vendor,Phone,Address,City,Province,Postal,username,email,type,contact,position,logo,subdomain
Delivery,Da Tang,(250) 585-8128,2220 Bowen Road Suite 1,Nanaimo,BC,V9S1H9,,,,,,,
Delivery,La Stella Trattoria,(778) 441-4668,321 Wesley Street Suite 1,Nanaimo,BC,V9R2T5,,,,,,,
Delivery,Mambo Gourmet Pizza,,,,,,,
Delivery,Tandoori Junction Indian Cuisine,(250) 591-8980,489 Wallace Street,Nanaimo,BC,V9R5B8,,,,,,,
Delivery,Gabriel’s Gourmet Cafe,(250) 714-0271,39a Commercial St,Nanaimo,BC,V9R5G3,,,,,,,
Delivery,Shanghai City Restaurant,(250) 756-9368,215-2000 Island Highway N,Nanaimo,BC,V9S5W3,,,,,,,
Delivery,Beaufort Pizza & Pasta House,(250) 754-5514,1483 Bowen Road,Nanaimo,BC,V9S1G4,,,,,,,
Delivery,Little George’s Pizza & Pasta Local Guys,,,,,,,
Delivery,Eataliano Kitchen,(250) 722-2080,1830 Cedar Road,Nanaimo,BC,V9X1L6,,,,,,,
Delivery,Zalathai,(250) 591-6988,22 Victoria Crescent,Nanaimo,BC,V9R5B9,,,,,,,
Delivery,Zalathai,(250) 591-6988,22 Victoria Crescent,Nanaimo,BC,V9R5B9,,,,,,,
Delivery,Rhythm Restaurant,(250) 591-2288,302-530 5th Street,Nanaimo,BC,V9R1P1,,,,,,,
Delivery,KFC,(250) 390-1565,6896 Island Hwy N North,Nanaimo,BC,V9V1P6,,,,,,,
Delivery,Hong Kong House Restaurant,(250) 758-1558,3023 Barons Road,Nanaimo,BC,V9T3Y6,,,,,,,
Delivery,Milano’s Ristorante,(250) 390-5060,6551 Aulds Rd Suite 300,Nanaimo,BC,V9T6K2,,,,,,,
Delivery,Manvirro’s Indian Grill,(250) 591-0558,1045B Terminal Avenue N,Nanaimo,BC,V9S4K3,,,,,,,
Delivery,Pita Pit,(250) 729-8891,3200 North Island Highway,Nanaimo,BC,V9T1W1,,,,,,,
Delivery,Little George’s,,,,,,,
Delivery,Chico’s Fried Chicken N Pizza,(250) 758-1999,2C-2220 Bowen Road,Nanaimo,BC,V9S1H9,,,,,,,
Delivery,Sushi Ryu,(250) 933-3889,6595 Applecross Road,Nanaimo,BC,V9V1K8,,,,,,,
Delivery,Pizza Mia,(250) 591-2929,119-50 Tenth Street,Nanaimo,BC,V9R6L6,,,,,,,
Delivery,Nana Sushi,(250) 591-0755,14 Victoria Crescent,Nanaimo,BC,V9R5B8,,,,,,,
Delivery,New York Style Pizza & Pasta,(250) 754-0111,299 Wallace Street,Nanaimo,BC,V9R5B4,,,,,,,
Delivery,Beefeater’s,(250) 753-2333,1840 Stewart Avenue,Nanaimo,BC,V9S4E6,,,,,,,
Delivery,Real Food,(250) 741-0004,321 Wesley St Unit 3,Nanaimo,BC,V9R2T5,,,,,,,
Delivery,Dover Chinese Food,,,,,,,
Delivery,Marina’s Taverna and Pizza,(778) 441-2626,215 Terminal Avenue N,Nanaimo,BC,V9S4J4,,,,,,,
Delivery,Boston Pizza,(250) 751-0090,2-5779 Turner Road,Nanaimo,BC,V9T6L8,,,,,,,
Delivery,Noodlebox,(778) 441-4494,648 Terminal Avenue Unit 107,Nanaimo,BC,V9R5E2,,,,,,,
Delivery,Pizza Mia,(250) 591-2929,4186 Departure Bay Road,Nanaimo,BC,V9T4B7,,,,,,,
Delivery,Pitcher’s Pantry,(250) 619-1855,,,,,,,
Delivery,Pizza Hut,(250) 754-3620,1150 Terminal Avenue N #12,Nanaimo,BC,V9S5L6,,,,,,,
Delivery,Freshslice Pizza,(250) 591-0689,100-1808 Bowen Road Westhill Center,Nanaimo,BC,V9S5W4,,,,,,,
Delivery,The Old City Station Pub,(250) 716-0030,150 Skinner Street,Nanaimo,BC,V9R7A6,,,,,,,
Delivery,Noodlebox,(250) 933-0712,6334 Metral Drive Unit 5,Nanaimo,BC,V9T2L8,,,,,,,
Delivery,Speedi Bottle Delivery,(250) 751-3880,,,,,,,
Delivery,Papa Johns Pizza,(250) 824-7272,5B 4890 Rutherford Road,Nanaimo,BC,V9T4Z4,,,,,,,
Delivery,Pizza Hut,(604) 275-4943,6373 Hammond Bay Road,Nanaimo,BC,V9T5Y1,,,,,,,
Delivery,KFC,(250) 933-1102,294-6631 Island Highway N,Nanaimo,BC,V9T4T7,,,,,,,
Delivery,Tintin Market & Restaurant,(236) 238-1371,201 Fourth Street Unit 2-3,Nanaimo,BC,V9R1T3,,,,,,,
Burgers,Milton Street Public House,(250) 591-1090,247 Milton Street,Nanaimo,BC,V9R2K5,,,,,,,
Burgers,Top Notch Burgers,(778) 441-4229,70 Church Street,Nanaimo,BC,V9R5H4,,,,,,,
Burgers,Gabriel’s Gourmet Cafe,(250) 714-0271,39a Commercial St,Nanaimo,BC,V9R5G3,,,,,,,
Burgers,Original Joes,3290 Island Highway,Nanaimo,BC,V9T1W1,,,,,,,
Burgers,Mrs Riches Restaurant,(250) 753-8311,199 Fraser Street,Nanaimo,BC,V9R5C1,,,,,,,
Burgers,Bin 4 Burger Lounge,(250) 933-4224,102A - 6750 Island Highway,Nanaimo,BC,V9V1A3,,,,,,,
Burgers,Sip and Sliders Food Truck,(250) 751-5424,,,,,,,
Burgers,Longwood Brew Pub & Restaurant,(250) 729-8225,5775 Turner Road,Nanaimo,BC,V9T6L8,,,,,,,
Burgers,The Skol,(250) 247-9988,"355 N Road Gabriola Island, BC V0R 1X1 Canada",Nanaimo,BC,V0R1X1,,,,,,,
Burgers,Browns Socialhouse Nanaimo North,(250) 933-6641,6338 Metral Drive Unit 6,Nanaimo,BC,V9T2L8,,,,,,,
Burgers,Woodfire Pizza & Pasta,(250) 247-0095,"500 N Road Unit 1 Gabriola, BC V0R 1X0 Canada",Nanaimo,BC,V0R1X0,,,,,,,
Burgers,White Spot,,,,,,,
Burgers,Crow & Gate Pub,(250) 722-3731,2313 Yellow Point Road,Nanaimo,BC,V9X1W5,,,,,,,
Burgers,The Modern,,,,,,,
Burgers,Firehouse Grill,(250) 716-0323,7 Victoria Road,Nanaimo,BC,V9R5H9,,,,,,,
Burgers,Trollers Fish & Chips,(250) 741-1609,104 Front Street,Nanaimo,BC,V9R5H7,,,,,,,
Burgers,Montana’s BBQ & Bar,(250) 758-2388,4715 Rutherford Rd,Nanaimo,BC,V9T5S5,,,,,,,
